Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-10,130.776,134.699,127.484,134.651,298300,0.0,0.0
2020-03-11,130.518,132.202,127.149,128.03,353400,0.0,0.0
2020-03-12,119.198,122.365,110.816,111.61,379100,0.0,0.0
2020-03-13,117.983,120.403,110.729,120.308,374300,0.0,0.0
2020-03-16,102.864,107.256,98.185,98.281,406400,0.0,0.0
2020-03-17,100.156,106.376,96.472,105.323,447100,0.0,0.0
2020-03-18,97.63,104.739,94.348,99.678,339200,0.0,0.0
2020-03-19,98.194,112.27,93.257,109.639,272700,0.0,0.0
2020-03-20,107.773,111.179,100.988,102.615,580100,0.0,0.0
2020-03-23,101.161,102.443,92.3,95.171,440200,0.0,0.0
2020-03-24,101.285,114.413,99.869,113.916,438900,0.0,0.0
2020-03-25,116.251,119.6,112.107,114.528,519700,0.0,0.0
2020-03-26,116.691,128.499,114.767,127.245,331400,0.0,0.0
2020-03-27,123.81,128.767,121.179,126.202,438300,0.0,0.0
2020-03-30,126.614,133.513,126.001,132.613,390700,0.0,0.0
2020-03-31,130.69,133.723,128.288,129.245,446400,0.0,0.0
2020-04-01,123.666,125.389,116.767,119.619,367000,0.0,0.0
2020-04-02,119.877,124.748,115.696,122.384,267400,0.0,0.0
2020-04-03,122.738,124.709,119.992,121.934,202600,0.0,0.0
2020-04-06,129.178,134.795,127.991,133.666,329200,0.0,0.0
2020-04-07,137.79,142.306,136.45,136.508,309900,0.0,0.0
2020-04-08,138.431,141.876,135.512,140.986,226900,0.0,0.0
2020-04-09,142.708,146.344,142.038,146.019,242000,0.0,0.0
2020-04-13,143.923,144.086,134.202,135.312,271300,0.0,0.0
2020-04-14,137.857,141.617,137.857,138.555,385600,0.0,0.0
2020-04-15,133.455,136.699,129.216,134.996,200900,0.0,0.0
2020-04-16,135.847,140.297,134.058,139.972,369900,0.0,0.0
2020-04-17,146.689,147.215,143.531,145.904,397300,0.0,0.0
2020-04-20,141.723,147.062,138.756,145.32,245500,0.0,0.0
2020-04-21,142.335,145.962,139.273,144.708,343100,0.0,0.0
2020-04-22,145.77,148.201,142.861,146.239,194300,0.0,0.0
2020-04-23,147.828,152.114,146.804,148.708,255900,0.0,0.0
2020-04-24,148.325,150.315,146.383,149.713,207500,0.0,0.0
2020-04-27,150.258,156.191,150.258,154.784,200000,0.0,0.0
2020-04-28,155.856,159.176,152.2,153.052,259700,0.0,0.0
2020-04-29,157.415,159.023,154.325,157.98,230900,0.0,0.0
2020-04-30,154.545,156.841,152.191,153.971,390400,0.0,0.0
2020-05-01,151.521,153.31,148.947,151.043,178700,0.0,0.0
2020-05-04,150.373,150.736,148.641,150.153,194200,0.0,0.0
2020-05-05,151.502,154.038,150.306,151.062,175900,0.0,0.0
2020-05-06,152.87,154.707,149.378,153.282,250900,0.0,0.0
2020-05-07,156.133,157.444,153.09,153.339,184500,0.0,0.0
2020-05-08,157.119,159.157,155.674,159.147,270900,0.0,0.0
2020-05-11,157.664,161.683,155.99,160.449,302700,0.0,0.0
2020-05-12,161.922,161.922,153.722,153.894,187000,0.0,0.0
2020-05-13,153.779,157.616,152.239,153.157,355800,0.0,0.0
2020-05-14,150.421,155.636,146.411,155.368,250500,0.0,0.0
2020-05-15,151.904,156.784,151.186,155.463,419500,0.0,0.0
2020-05-18,160.908,167.252,158.2,165.549,310800,0.0,0.0
